Exon	IJC1	SJC1	IJC2	SJC2	IncFormLen	SkipFormLen
27530	191,228,211	30,38,28	165,143,132	75,55,54	172	86
27535	122,146,141	30,38,28	108,80,70	75,55,54	164	86
27843	161,160,145	12,18,13	45,26,39	256,227,249	17	53
28529	208,211,206	62,77,62	466,393,628	3,2,9	172	86
28531	136,154,160	111,159,138	330,308,444	70,85,107	172	86
31329	174,174,190	7,13,6	341,277,293	82,67,56	172	86
31699	359,418,353	245,302,245	261,254,265	462,420,450	93	79
31861	46,60,48	10,13,8	232,233,189	0,0,0	172	86
32023	454,542,446	267,306,259	1239,1606,1541	8,11,6	47	27
32124	182,201,189	48,40,43	114,124,90	63,80,51	172	86
32236	5,2,10	5,3,7	68,40,27	1,3,3	154	68
32767	79,107,88	55,70,49	20,18,11	134,100,109	47	38
32815	1555,1625,1405	179,170,115	606,498,473	224,167,172	172	86
32816	2382,2620,2158	518,510,423	989,810,820	794,572,606	150	64
33335	1,5,1	0,0,0	561,600,634	0,0,1	110	24
33381	103,125,107	70,64,73	22,29,19	436,412,401	124	86
33512	198,190,191	16,16,12	127,110,151	39,50,32	172	86
33655	22,19,25	9,8,8	144,111,102	7,5,14	172	86
33745	139,162,114	54,45,62	66,49,39	175,155,146	172	86
33750	164,191,134	54,45,62	105,75,80	175,155,146	124	86
33753	123,159,112	84,132,95	288,226,250	2,10,3	148	62
33998	819,806,987	2455,2907,3145	1315,1204,1326	1586,1746,1619	172	86
33999	3211,3428,3708	22,24,35	883,859,847	1802,2001,1746	64	86
34006	4869,5202,5576	22,24,35	1455,1449,1402	1802,2001,1746	130	86
35139	634,643,636	23,23,15	420,333,295	68,85,86	172	86
35156	0,1,0	5,4,7	7,4,9	0,0,0	172	86
35170	0,2,0	5,4,7	12,5,13	0,0,0	51	22
35393	7,8,4	66,56,48	89,107,131	28,86,67	172	86
35555	89,108,102	32,21,17	75,63,60	80,61,48	78	86
35904	446,485,493	11,16,15	185,174,147	78,59,74	136	86
35997	329,347,317	788,864,802	911,793,756	353,356,333	100	86
36144	60,59,64	52,48,46	81,46,37	11,11,5	46	86
36172	2,2,3	27,25,40	19,19,22	7,7,4	19	41
37416	499,495,480	373,331,353	798,894,922	254,246,194	106	20
38321	110,107,113	38,41,35	117,84,136	145,113,107	172	86
38354	801,843,798	287,323,258	2157,1889,1988	357,348,381	141	55
39052	126,137,122	231,239,178	650,518,600	409,355,339	88	86
39060	302,300,226	129,122,131	552,510,490	634,541,584	152	66
39664	177,209,202	61,77,64	160,123,146	215,167,163	172	86
39670	130,158,169	61,77,64	137,109,114	215,167,163	172	86
40019	595,679,625	423,406,449	258,252,212	429,381,416	111	25
40068	84,89,70	82,94,73	11,11,4	43,35,60	97	37
40248	351,383,316	236,198,260	96,74,81	788,665,782	108	86
40354	89,102,125	308,400,354	7,4,2	1339,1119,1292	139	83
40378	538,561,636	7,1,4	726,577,613	93,106,70	130	78
41204	147,184,157	1,0,2	64,47,56	26,32,19	172	86
41205	248,319,259	3,2,2	113,96,105	12,11,25	157	71
41208	99,115,96	7,16,10	74,73,80	240,229,187	142	86
41412	119,107,127	75,80,90	215,153,171	49,45,38	107	69
41457	93,128,117	16,16,12	11,15,8	7,9,7	172	86
41887	5,11,6	52,57,66	35,27,20	15,15,18	18	36
42858	46,53,48	191,249,161	311,244,263	33,47,32	172	86
43024	255,270,253	129,120,137	48,54,40	239,157,220	172	86
44323	148,147,166	46,43,56	207,163,155	17,19,13	156	86
45153	47,55,60	10,7,7	93,82,75	100,76,89	163	77
45964	30,46,26	78,59,55	28,32,32	248,164,203	8	29
45977	605,622,631	120,153,130	507,470,495	375,344,333	172	86
46181	20,27,23	2,0,1	17,18,21	40,47,47	11	68
46896	11,6,11	109,99,119	80,65,52	23,14,19	10	86
46998	2,3,4	330,411,384	27,33,38	139,136,163	58	86
48138	36,39,23	1,12,3	10,4,10	14,11,17	172	86
48142	0,8,4	29,23,32	12,22,13	10,4,4	172	86
48277	65,80,53	262,287,297	0,0,0	239,208,253	40	86
49348	29,31,25	325,352,299	304,294,267	526,518,477	11	47
49526	259,275,264	281,277,326	392,360,430	1103,1036,1083	142	86
